Producto,Precio,Monto acumulado de estrellas,Existencia,Enlaces
Xiaomi Redmi Note 11e Pro 5g 256gb - 8gb Desbloqueado Dual Negro Color Negro,"6,333",543,Disponible en 4 colores,https://www.mercadolibre.com.mx/xiaomi-redmi-note-11e-pro-5g-256gb-8gb-desbloqueado-dual-negro-color-negro/p/MLM23435501?pdp_filters=category:MLM1055%7Cdiscount:5-100#searchVariation=MLM23435501&position=1&search_layout=stack&type=product&tracking_id=1e373bca-0f21-4a0e-823e-ad9a883fa6cd
Xiaomi 13 Pro Dual SIM 256 GB mountain blue 12 GB RAM,"4,876",12,Disponible en 4 colores,https://www.mercadolibre.com.mx/xiaomi-13-pro-dual-sim-256-gb-mountain-blue-12-gb-ram/p/MLM21827359?pdp_filters=category:MLM1055%7Cdiscount:5-100#searchVariation=MLM21827359&position=2&search_layout=stack&type=product&tracking_id=1e373bca-0f21-4a0e-823e-ad9a883fa6cd
Xiaomi Pocophone Poco M5s Dual Sim 256 Gb Gris 8 Gb Ram,406,9498,Disponible en 3 colores,https://www.mercadolibre.com.mx/xiaomi-pocophone-poco-m5s-dual-sim-256-gb-gris-8-gb-ram/p/MLM23428712?pdp_filters=category:MLM1055%7Cdiscount:5-100#searchVariation=MLM23428712&position=3&search_layout=stack&type=product&tracking_id=1e373bca-0f21-4a0e-823e-ad9a883fa6cd
Xiaomi Redmi 12C Dual SIM 128 GB gris grafito 4 GB RAM,"21,999",1010,Disponible en 5 colores,https://www.mercadolibre.com.mx/xiaomi-redmi-12c-dual-sim-128-gb-gris-grafito-4-gb-ram/p/MLM22307921?pdp_filters=category:MLM1055%7Cdiscount:5-100#searchVariation=MLM22307921&position=4&search_layout=stack&type=product&tracking_id=1e373bca-0f21-4a0e-823e-ad9a883fa6cd
Xiaomi Redmi Note 12s Dual Sim 256 Gb Onyx Black 8 Gb Ram,"18,259",310,Disponible en 3 colores,https://www.mercadolibre.com.mx/xiaomi-redmi-note-12s-dual-sim-256-gb-onyx-black-8-gb-ram/p/MLM23501450?pdp_filters=category:MLM1055%7Cdiscount:5-100#searchVariation=MLM23501450&position=5&search_layout=stack&type=product&tracking_id=1e373bca-0f21-4a0e-823e-ad9a883fa6cd
Xiaomi Redmi Note 11S Dual SIM 128 GB gris grafito 8 GB RAM,"1,521",5329,Disponible en 2 colores,https://www.mercadolibre.com.mx/xiaomi-redmi-note-11s-dual-sim-128-gb-gris-grafito-8-gb-ram/p/MLM18983362?pdp_filters=category:MLM1055%7Cdiscount:5-100#searchVariation=MLM18983362&position=6&search_layout=stack&type=product&tracking_id=1e373bca-0f21-4a0e-823e-ad9a883fa6cd
Xiaomi Pocophone Poco X5 Pro 5G Dual SIM 256 GB negro 8 GB RAM,"3,731",3726,Disponible en 3 colores,https://www.mercadolibre.com.mx/xiaomi-pocophone-poco-x5-pro-5g-dual-sim-256-gb-negro-8-gb-ram/p/MLM21748124?pdp_filters=category:MLM1055%7Cdiscount:5-100#searchVariation=MLM21748124&position=7&search_layout=stack&type=product&tracking_id=1e373bca-0f21-4a0e-823e-ad9a883fa6cd
Xiaomi Redmi Note 12 4G Dual SIM 128 GB onyx gray 4 GB RAM,"3,097",472,Disponible en 3 colores,https://www.mercadolibre.com.mx/xiaomi-redmi-note-12-4g-dual-sim-128-gb-onyx-gray-4-gb-ram/p/MLM22326259?pdp_filters=category:MLM1055%7Cdiscount:5-100#searchVariation=MLM22326259&position=8&search_layout=stack&type=product&tracking_id=1e373bca-0f21-4a0e-823e-ad9a883fa6cd
Xiaomi Redmi Note 12 Pro 4g Dual 256 Gb 8 Ram Gris,314,121,Disponible en 2 colores,https://www.mercadolibre.com.mx/xiaomi-redmi-note-12-pro-4g-dual-256-gb-8-ram-gris/p/MLM23514953?pdp_filters=category:MLM1055%7Cdiscount:5-100#searchVariation=MLM23514953&position=9&search_layout=stack&type=product&tracking_id=1e373bca-0f21-4a0e-823e-ad9a883fa6cd
Xiaomi Redmi 12 Negro Ocaso 128 Gb 4 Gb Ram Dual Sim Global Desbloqueado Nuevo,"2,596",627,Disponible en 5 colores,https://articulo.mercadolibre.com.mx/MLM-2289353356-xiaomi-redmi-12-negro-ocaso-128-gb-4-gb-ram-dual-sim-global-desbloqueado-nuevo-_JM_NoIndex_True#position=32&search_layout=stack&type=item&tracking_id=1e373bca-0f21-4a0e-823e-ad9a883fa6cd
Celular Xiaomi Poco F5 Pro 5g 512gb Nfc Snapdragon 8 120hz,"1,947",3726,Disponible en 3 colores,https://articulo.mercadolibre.com.mx/MLM-2265411638-celular-xiaomi-poco-f5-pro-5g-512gb-nfc-snapdragon-8-120hz-_JM_NoIndex_True#position=33&search_layout=stack&type=item&tracking_id=1e373bca-0f21-4a0e-823e-ad9a883fa6cd
Xiaomi Redmi Note 12 Pro 5G Dual SIM 128 GB negro 6 GB RAM,197,2057,Disponible en 2 colores,https://www.mercadolibre.com.mx/xiaomi-redmi-note-12-pro-5g-dual-sim-128-gb-negro-6-gb-ram/p/MLM21286079?pdp_filters=category:MLM1055%7Cdiscount:5-100#searchVariation=MLM21286079&position=10&search_layout=stack&type=product&tracking_id=1e373bca-0f21-4a0e-823e-ad9a883fa6cd
Xiaomi Pocophone Poco X5 Pro 5G Dual SIM 128 GB negro 6 GB RAM,"4,787",1,Disponible en 3 colores,https://www.mercadolibre.com.mx/xiaomi-pocophone-poco-x5-pro-5g-dual-sim-128-gb-negro-6-gb-ram/p/MLM21748128?pdp_filters=category:MLM1055%7Cdiscount:5-100#searchVariation=MLM21748128&position=11&search_layout=stack&type=product&tracking_id=1e373bca-0f21-4a0e-823e-ad9a883fa6cd
Xiaomi Redmi 9C Dual SIM 64 GB  gris medianoche 3 GB RAM,"3,830",204,Disponible en 3 colores,https://www.mercadolibre.com.mx/xiaomi-redmi-9c-dual-sim-64-gb-gris-medianoche-3-gb-ram/p/MLM16069877?pdp_filters=category:MLM1055%7Cdiscount:5-100#searchVariation=MLM16069877&position=12&search_layout=stack&type=product&tracking_id=1e373bca-0f21-4a0e-823e-ad9a883fa6cd
Xiaomi Redmi Note 12s 4G Dual SIM 256 GB ice blue 8 GB RAM,388,4,Disponible en 3 colores,https://www.mercadolibre.com.mx/xiaomi-redmi-note-12s-4g-dual-sim-256-gb-ice-blue-8-gb-ram/p/MLM24163580?pdp_filters=category:MLM1055%7Cdiscount:5-100#searchVariation=MLM24163580&position=13&search_layout=stack&type=product&tracking_id=1e373bca-0f21-4a0e-823e-ad9a883fa6cd
Xiaomi Poco M4 5g 128 Gb 6 Ram Negro,"3,887",31,Disponible en 3 colores,https://www.mercadolibre.com.mx/xiaomi-poco-m4-5g-128-gb-6-ram-negro/p/MLM19924338?pdp_filters=category:MLM1055%7Cdiscount:5-100#searchVariation=MLM19924338&position=14&search_layout=stack&type=product&tracking_id=1e373bca-0f21-4a0e-823e-ad9a883fa6cd
Xiaomi Redmi Note 12 Pro 4g 128gb 6ram 108mpx,"3,499",1,Disponible en 3 colores,https://www.mercadolibre.com.mx/xiaomi-redmi-note-12-pro-4g-128gb-6ram-108mpx/p/MLM22828564?pdp_filters=category:MLM1055%7Cdiscount:5-100#searchVariation=MLM22828564&position=15&search_layout=stack&type=product&tracking_id=1e373bca-0f21-4a0e-823e-ad9a883fa6cd
Xiaomi Redmi Note 12 Pro 4g Dual 256 Gb 8 Ram Blanco,291,9498,Disponible en 3 colores,https://articulo.mercadolibre.com.mx/MLM-1876597303-xiaomi-redmi-note-12-pro-4g-dual-256-gb-8-ram-blanco-_JM_NoIndex_True#position=34&search_layout=stack&type=item&tracking_id=1e373bca-0f21-4a0e-823e-ad9a883fa6cd
Celular Xiaomi Redmi Note 12 Pro 4g 128gb 6 Gb Ram 108mpx,"6,599",627,Disponible en 2 colores,https://www.mercadolibre.com.mx/celular-xiaomi-redmi-note-12-pro-4g-128gb-6-gb-ram-108mpx/p/MLM23121518?pdp_filters=category:MLM1055%7Cdiscount:5-100#searchVariation=MLM23121518&position=16&search_layout=stack&type=product&tracking_id=1e373bca-0f21-4a0e-823e-ad9a883fa6cd
Xiaomi Redmi K60 Dual SIM 256 GB black 12 GB RAM,"5,477",1212,Disponible en 3 colores,https://www.mercadolibre.com.mx/xiaomi-redmi-k60-dual-sim-256-gb-black-12-gb-ram/p/MLM23956947?pdp_filters=category:MLM1055%7Cdiscount:5-100#searchVariation=MLM23956947&position=17&search_layout=stack&type=product&tracking_id=1e373bca-0f21-4a0e-823e-ad9a883fa6cd
Xiaomi Pocophone Poco M5s Dual SIM 128 GB gris 4 GB RAM,456,806,Disponible en 3 colores,https://www.mercadolibre.com.mx/xiaomi-pocophone-poco-m5s-dual-sim-128-gb-gris-4-gb-ram/p/MLM19671380?pdp_filters=category:MLM1055%7Cdiscount:5-100#searchVariation=MLM19671380&position=18&search_layout=stack&type=product&tracking_id=1e373bca-0f21-4a0e-823e-ad9a883fa6cd
Xiaomi Redmi Note 12 Pro 5G Dual SIM 256 GB negro 8 GB RAM,"3,519",409,Disponible en 5 colores,https://www.mercadolibre.com.mx/xiaomi-redmi-note-12-pro-5g-dual-sim-256-gb-negro-8-gb-ram/p/MLM21286071?pdp_filters=category:MLM1055%7Cdiscount:5-100#searchVariation=MLM21286071&position=19&search_layout=stack&type=product&tracking_id=1e373bca-0f21-4a0e-823e-ad9a883fa6cd
Xiaomi Redmi 12 256gb - 8gb Desbloqueado Nuevo Dual Negro,"2,744",51,Disponible en 2 colores,https://articulo.mercadolibre.com.mx/MLM-2319096588-xiaomi-redmi-12-256gb-8gb-desbloqueado-nuevo-dual-negro-_JM_NoIndex_True#position=35&search_layout=stack&type=item&tracking_id=1e373bca-0f21-4a0e-823e-ad9a883fa6cd
Xiaomi Redmi 12 Dual Sim 256gb Polar Silver 8gb Ram,278,12161,,https://articulo.mercadolibre.com.mx/MLM-2311371742-xiaomi-redmi-12-dual-sim-256gb-polar-silver-8gb-ram-_JM_NoIndex_True#position=36&search_layout=stack&type=item&tracking_id=1e373bca-0f21-4a0e-823e-ad9a883fa6cd
Xiaomi Mi 12t Pro 8gb 256gb Snapdragon 8+ Gen 1 200mp 120w,"7,499",5883,,https://articulo.mercadolibre.com.mx/MLM-1716993006-xiaomi-mi-12t-pro-8gb-256gb-snapdragon-8-gen-1-200mp-120w-_JM_NoIndex_True#position=37&search_layout=stack&type=item&tracking_id=1e373bca-0f21-4a0e-823e-ad9a883fa6cd
Xiaomi Redmi 10A Dual SIM 32 GB gris grafito 2 GB RAM,"4,349",498,,https://www.mercadolibre.com.mx/xiaomi-redmi-10a-dual-sim-32-gb-gris-grafito-2-gb-ram/p/MLM19103692?pdp_filters=category:MLM1055%7Cdiscount:5-100#searchVariation=MLM19103692&position=20&search_layout=stack&type=product&tracking_id=1e373bca-0f21-4a0e-823e-ad9a883fa6cd
Xiaomi Redmi Note 12 Pro+ 5G Dual SIM 256 GB obsidian black 8 GB RAM,441,22,,https://www.mercadolibre.com.mx/xiaomi-redmi-note-12-pro-5g-dual-sim-256-gb-obsidian-black-8-gb-ram/p/MLM22263907?pdp_filters=category:MLM1055%7Cdiscount:5-100#searchVariation=MLM22263907&position=21&search_layout=stack&type=product&tracking_id=1e373bca-0f21-4a0e-823e-ad9a883fa6cd
Xiaomi Pocophone Poco F5 Dual SIM 256 GB negro 8 GB RAM,"3,799",2984,,https://www.mercadolibre.com.mx/xiaomi-pocophone-poco-f5-dual-sim-256-gb-negro-8-gb-ram/p/MLM23208264?pdp_filters=category:MLM1055%7Cdiscount:5-100#searchVariation=MLM23208264&position=22&search_layout=stack&type=product&tracking_id=1e373bca-0f21-4a0e-823e-ad9a883fa6cd
Xiaomi Redmi 12 Dual Sim 128gb Midnight Black 4gb Ram,"2,469",72,,https://www.mercadolibre.com.mx/xiaomi-redmi-12-dual-sim-128gb-midnight-black-4gb-ram/p/MLM24346277?pdp_filters=category:MLM1055%7Cdiscount:5-100#searchVariation=MLM24346277&position=23&search_layout=stack&type=product&tracking_id=1e373bca-0f21-4a0e-823e-ad9a883fa6cd
Xiaomi Redmi 9A Dual SIM 64 GB gris granito 4 GB RAM,250,296,,https://www.mercadolibre.com.mx/xiaomi-redmi-9a-dual-sim-64-gb-gris-granito-4-gb-ram/p/MLM16092737?pdp_filters=category:MLM1055%7Cdiscount:5-100#searchVariation=MLM16092737&position=24&search_layout=stack&type=product&tracking_id=1e373bca-0f21-4a0e-823e-ad9a883fa6cd
Xiaomi Redmi Note 11 (Snapdragon) Dual SIM 128 GB azul estelar 6 GB RAM,"10,860",51,,https://www.mercadolibre.com.mx/xiaomi-redmi-note-11-snapdragon-dual-sim-128-gb-azul-estelar-6-gb-ram/p/MLM18924354?pdp_filters=category:MLM1055%7Cdiscount:5-100#searchVariation=MLM18924354&position=25&search_layout=stack&type=product&tracking_id=1e373bca-0f21-4a0e-823e-ad9a883fa6cd
Xiaomi Redmi Note 12 Dual Sim 128 Gb Onyx Gray 4 Gb Ram Global,"10,100",,,https://articulo.mercadolibre.com.mx/MLM-1864385441-xiaomi-redmi-note-12-dual-sim-128-gb-onyx-gray-4-gb-ram-global-_JM_NoIndex_True#position=38&search_layout=stack&type=item&tracking_id=1e373bca-0f21-4a0e-823e-ad9a883fa6cd
Xiaomi Redmi Note 12 5G Dual SIM 128 GB matte black 4 GB RAM,841,,,https://www.mercadolibre.com.mx/xiaomi-redmi-note-12-5g-dual-sim-128-gb-matte-black-4-gb-ram/p/MLM22098663?pdp_filters=category:MLM1055%7Cdiscount:5-100#searchVariation=MLM22098663&position=26&search_layout=stack&type=product&tracking_id=1e373bca-0f21-4a0e-823e-ad9a883fa6cd
Xiaomi Redmi 12 128gb - 8gb Desbloqueado Nuevo Dual Negro,"6,999",,,https://articulo.mercadolibre.com.mx/MLM-2297952744-xiaomi-redmi-12-128gb-8gb-desbloqueado-nuevo-dual-negro-_JM_NoIndex_True#position=39&search_layout=stack&type=item&tracking_id=1e373bca-0f21-4a0e-823e-ad9a883fa6cd
Xiaomi Poco F5 Pro Dual SIM 512 GB white 12 GB RAM,"4,479",,,https://www.mercadolibre.com.mx/xiaomi-poco-f5-pro-dual-sim-512-gb-white-12-gb-ram/p/MLM24206098?pdp_filters=category:MLM1055%7Cdiscount:5-100#searchVariation=MLM24206098&position=27&search_layout=stack&type=product&tracking_id=1e373bca-0f21-4a0e-823e-ad9a883fa6cd
Xiaomi Pocophone Poco X4 Pro 5G Dual SIM 128 GB poco yellow 6 GB RAM,454,,,https://www.mercadolibre.com.mx/xiaomi-pocophone-poco-x4-pro-5g-dual-sim-128-gb-poco-yellow-6-gb-ram/p/MLM18968540?pdp_filters=category:MLM1055%7Cdiscount:5-100#searchVariation=MLM18968540&position=28&search_layout=stack&type=product&tracking_id=1e373bca-0f21-4a0e-823e-ad9a883fa6cd
Xiaomi Note 12s 256GB 8GB Ram Dual Ice Blue,"6,599",,,https://www.mercadolibre.com.mx/xiaomi-note-12s-256gb-8gb-ram-dual-ice-blue/p/MLM23438796?pdp_filters=category:MLM1055%7Cdiscount:5-100#searchVariation=MLM23438796&position=29&search_layout=stack&type=product&tracking_id=1e373bca-0f21-4a0e-823e-ad9a883fa6cd
Xiaomi Redmi Note 12s Dual Sim 8+256 Gb Onyx Black,"5,609",,,https://articulo.mercadolibre.com.mx/MLM-1887094185-xiaomi-redmi-note-12s-dual-sim-8256-gb-onyx-black-_JM_NoIndex_True#position=40&search_layout=stack&type=item&tracking_id=1e373bca-0f21-4a0e-823e-ad9a883fa6cd
Poco X5 Pro 5g Black 8gb Ram 256gb Rom,467,,,https://articulo.mercadolibre.com.mx/MLM-1876168003-poco-x5-pro-5g-black-8gb-ram-256gb-rom-_JM_NoIndex_True#position=41&search_layout=stack&type=item&tracking_id=1e373bca-0f21-4a0e-823e-ad9a883fa6cd
Xiaomi Redmi Note 12 Azul 128 Gb 4 Gb Ram Dual Sim Global Desbloqueado Nuevo,"3,309",,,https://articulo.mercadolibre.com.mx/MLM-1878529493-xiaomi-redmi-note-12-azul-128-gb-4-gb-ram-dual-sim-global-desbloqueado-nuevo-_JM_NoIndex_True#position=42&search_layout=stack&type=item&tracking_id=1e373bca-0f21-4a0e-823e-ad9a883fa6cd
Xiaomi Poco F5 Dual 256 Gb 8 Ram Negro,"1,654",,,https://articulo.mercadolibre.com.mx/MLM-2168473122-xiaomi-poco-f5-dual-256-gb-8-ram-negro-_JM_NoIndex_True#position=43&search_layout=stack&type=item&tracking_id=1e373bca-0f21-4a0e-823e-ad9a883fa6cd
Xiaomi Redmi Note 12 Dual Sim 4+128 Gb Mint Green,167,,,https://articulo.mercadolibre.com.mx/MLM-2192650074-xiaomi-redmi-note-12-dual-sim-4128-gb-mint-green-_JM_NoIndex_True#position=44&search_layout=stack&type=item&tracking_id=1e373bca-0f21-4a0e-823e-ad9a883fa6cd
Xiaomi Redmi Note 12 Dual Sim 128 Gb Ice Blue 4 Gb Ram Global,"4,340",,,https://articulo.mercadolibre.com.mx/MLM-1868661087-xiaomi-redmi-note-12-dual-sim-128-gb-ice-blue-4-gb-ram-global-_JM_NoIndex_True#position=45&search_layout=stack&type=item&tracking_id=1e373bca-0f21-4a0e-823e-ad9a883fa6cd
"Xiaomi Redmi Note 12 128gb 4gb 6,67  120 Hz Carga Rápida De 33 W 5000 Mah Snapdragon® 685 Versión Global Nuevo","3,862",,,https://articulo.mercadolibre.com.mx/MLM-2149321102-xiaomi-redmi-note-12-128gb-4gb-667-120-hz-carga-rapida-de-33-w-5000-mah-snapdragon-685-version-global-nuevo-_JM_NoIndex_True#position=46&search_layout=stack&type=item&tracking_id=1e373bca-0f21-4a0e-823e-ad9a883fa6cd
Xiaomi Note 12 Pro 5g 256gb - 8gb Ram Desbloqueado Dual Nuevo Blanco,392,,,https://articulo.mercadolibre.com.mx/MLM-2200489916-xiaomi-note-12-pro-5g-256gb-8gb-ram-desbloqueado-dual-nuevo-blanco-_JM_NoIndex_True#position=47&search_layout=stack&type=item&tracking_id=1e373bca-0f21-4a0e-823e-ad9a883fa6cd
